DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,MAIN_DESTINATION,MAIN_PURPOSE_SAME_DAY_VISIT,MEAN_TRANSPORT_MEANS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_MAIN_DESTINATION,NOTE_MAIN_PURPOSE_SAME_DAY_VISIT,NOTE_MEAN_TRANSPORT_MEANS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM_PERC,ITD5,TOT_ESC,ALL,2023,9.8,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM_PERC,ITDA,TOT_ESC,ALL,2023,3.5,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM_PERC,ITE1,TOT_ESC,ALL,2023,9.4,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM_PERC,ITE2,TOT_ESC,ALL,2023,1.7,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM_PERC,ITE3,TOT_ESC,ALL,2023,1.9,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM_PERC,ITE4,TOT_ESC,ALL,2023,6.7,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM_PERC,ITF1,TOT_ESC,ALL,2023,0.7,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM_PERC,ITF2,TOT_ESC,ALL,2023,0.1,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM_PERC,ITF3,TOT_ESC,ALL,2023,8.2,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM_PERC,ITF4,TOT_ESC,ALL,2023,2,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM_PERC,ITF5,TOT_ESC,ALL,2023,0.2,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM_PERC,ITF6,TOT_ESC,ALL,2023,1.8,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM_PERC,ITG1,TOT_ESC,ALL,2023,2.1,,,,,,,,,,,
IT1:68_338_DF_DCCV_ESC_CAPI_4(1.0),A,IT,ESC_DOM_PERC,ITG2,TOT_ESC,ALL,2023,3,,,,,,,,,,,
